RecordNo,q,a
81,Q4,Microsoft Outlook 365
81,Q4,Photoshop Elements 15
81,Q4,Newscycle
81,Q4,
84,Q4,IntelliJ Idea
84,Q4,Java
84,Q4,Virtual Box
84,Q4,Notepad++
84,Q4,Chrome
84,Q4,Microsoft Outlook
90,Q4,Microsoft Excel
90,Q4,Microsoft Outlook
90,Q4,Microsoft Word
90,Q4,Internet Explorer
90,Q4,diverse virksomhedsspecifikke programmer
93,Q4,Microsoft Office
93,Q4,Google Chrome
93,Q4,Super Office
95,Q4,Microsoft word
95,Q4,excel
95,Q4,powerpoint
95,Q4,visio
95,Q4,outlook
97,Q4,Word
97,Q4,excel
97,Q4,outlook
100,Q4,Word
100,Q4,Excel
100,Q4,Outlook
105,Q4,Lotus notes
105,Q4,FKS (SDC)
105,Q4,Advisor (SDC)
105,Q4,Excel
108,Q4,MANGE!
112,Q4,Equus
112,Q4,Gmail
112,Q4,Microsoft Word 2010
112,Q4,Explorer 11
112,Q4,Mozilla Firefox
112,Q4,
114,Q4,Microsoft word 2017 .. tror jeg
114,Q4,microsoft outlook 2017
118,Q4,ingen ide
119,Q4,Word
119,Q4,Excel
119,Q4,
129,Q4,Outlook
129,Q4,word Excel Advosys explorer
130,Q4,Visual Studio
130,Q4,hithub
130,Q4,Office pakken microsoft
130,Q4,team service
130,Q4,teams
130,Q4,
136,Q4,excel
136,Q4,word
136,Q4,powerpoint
142,Q4,Navision
142,Q4,Ms-Office-pakken
142,Q4,Windows 10
143,Q4,Windows 8
143,Q4,Android
145,Q4,Ms Office
145,Q4,SAP
145,Q4,teamcenter
146,Q4,Microsoft word
146,Q4,excel
146,Q4,snipping tools
146,Q4,notepad
146,Q4,Microsoft Dynamics ax 2015
146,Q4,adobe acrobat reader
146,Q4,google chrome
146,Q4,ip nordic communicator
147,Q4,Word
147,Q4,excel
147,Q4,powerpoint
154,Q4,Microsoft Dynamics Nav Development Environment
154,Q4,Microsoft Excel
154,Q4,Microsoft Word
154,Q4,Microsoft Dynamics Nav Client
155,Q4,Ingen ide
161,Q4,Word
161,Q4,excel
161,Q4,klippeværktøj
161,Q4,acrobat reader
161,Q4,outlook
161,Q4,explorer
168,Q4,Citrix
168,Q4,Chrome
168,Q4,Microsoft Office
169,Q4,.?
171,Q4,Microsoft Office
171,Q4,microsoft internet Explorer
171,Q4,SAP
173,Q4,Office 365
174,Q4,kan ikke
174,Q4,jeg er på
174,Q4,ferie
176,Q4,Google oma
179,Q4,office 2013
179,Q4,terminal-emulator (IBM)
179,Q4,programmeringsværktøj(cobol)
179,Q4,database-management ( NS SQL) lønsystem
179,Q4,SKATs systemer
179,Q4,netbank
179,Q4,google mail
179,Q4,calendar
179,Q4,drive
179,Q4,chrome.
184,Q4,
184,Q4,
185,Q4,excel 2016
185,Q4,mssql
185,Q4,visual studio
185,Q4,evernote
185,Q4,word
185,Q4,outlook
185,Q4,
190,Q4,Ved ikke
191,Q4,Microsoft Word
191,Q4,Excell
191,Q4,Powerpoint etc. - hele Microsoft pakken
191,Q4,SAP
192,Q4,SAP
192,Q4,Microsoft Excel 2013
192,Q4,Microsoft Word 2013
192,Q4,Microsoft PowerPoint 2013
